plotID,YearStart,YearEnd,siteID,domainID,decimalLatitude,decimalLongitude,nlcdClass,Habitat,I,N,NI,EF,c8To0Concentration,c10To0Concentration,c11To0Concentration,lipid2OH10To0Concentration,c12To0Concentration,c13To0Concentration,lipid2OH12To0Concentration,lipid3OH12To0Concentration,c14To1Concentration,c14To0Concentration,i14To0Concentration,i15To0Concentration,aC15To0Concentration,c15To0Concentration,c15To1Concentration,lipid2OH14To0Concentration,lipid3OH14To0Concentration,i16To0Concentration,cis16To1n9Concentration,c16To1n7Concentration,c16To1Cis11Concentration,c16To0Concentration,lipid10Methyl16To0Concentration,i17To0Concentration,c17To1Concentration,cyclo17To0Concentration,c17To0Concentration,c17To0AnteisoConcentration,c17To1n7Concentration,lipid2OH16To0Concentration,lipid10Methyl17To0Concentration,lipid10Methyl17To1Concentration,c18To1n13Concentration,c18To3n6Concentration,cis18To2n912Concentration,cis18To1n9Concentration,trans18To1n9Concentration,trans18To2n912Concentration,c18To3n3Concentration,c18To1n11Concentration,c18To0Concentration,lipid10Methyl18To0Concentration,lipid10Methyl18To1Concentration,cyclo19To0Concentration,c19To0Concentration,c19To1Cis10Concentration,c20To4n6Concentration,c20To5n3Concentration,c20To3n6Concentration,c20To2Concentration,c20To1Concentration,c20To3n3Concentration,c20To0Concentration,c21To0Concentration,c22To2Concentration,c22To1n9Concentration,c22To0Concentration,c22To6CisConcentration,c23To0Concentration,c24To1Concentration,c24To0Concentration,totalLipidConcentration,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,soilMoisture,soilInWaterpH,rootC_s,rootN_s,CNratio_s,MI_s,diameter_s,SRL_s,RMF_s,RD_s,RTD_s
CPER_006,2020,2021,CPER,D10,40.814769,-104.748078,grasslandHerbaceous,Herbaceous,1,12.8,0.5,1.494023904,,0,0,0,-0.066666667,0,,,0,-0.181666667,-0.163333334,-1.811666667,-1.053333333,-0.141666667,0,,,-1.025,-1.225,,-0.49,-2.055,-1.76,-0.435,0,-0.866666667,-0.19,-0.51,,0,-0.29,,,0,-0.445,-1.528333334,,,,-1.256666667,,-0.575,,-1.528333333,,,-0.02,0,0,-0.03,-0.041666667,,-0.085,0,0,0,-0.085,0,0,0,-0.156666666,-17.19833333,-0.156481481,0.03363363,0.007285714,-0.152049549,,-0.003416666,0.018333334,389.0611441,14.89052301,0.572837924,24.81484498,0.122419913,501.8864338,0.291052092,13.38844666,0.384470742
CPER_047,2020,2021,CPER,D10,40.818371,-104.746715,grasslandHerbaceous,Herbaceous,-0.5,-9.025,0,-1.063829787,,0,0,0,-0.033333333,0,,,0,-0.193333334,-0.157777777,-1.523888889,-0.867222222,-0.146111111,0,,,-0.871111111,-0.665,0.037777778,-0.26,-1.736111111,-1.239444444,-0.347777777,0,-0.552222222,-0.145,-0.441666667,0.217777778,0,-0.208333333,0.637777778,0.048888889,0,-0.345555556,-0.985,,,,-0.629444444,,-0.462777778,0.03,-1.27,,0,0,0,0,-0.056666667,0,,-0.123888889,0,0,0,-0.112777778,0,0,0,-0.125555556,-12.52333333,0.177777778,0.46851852,-0.056930199,-2.785608462,-2.34722222,0.005111111,-0.109444444,-208.1128312,-3.5033679,-29.70182366,-20.58823531,-0.228449581,-15.6021715,-0.2125,-29.12736891,-0.063847669
HARV_004,2020,2021,HARV,D01,42.427091,-72.229737,mixedForest,Deciduous Forest,0.5,70.95833334,0.5,0.336700337,,0,0,0.098888889,0.202777778,0,,,-0.005,1.322222222,0.639444444,6.35777778,3.26611111,0.915555556,0,,,2.66,6.69444444,,2.85388889,14.59722223,3.64055555,0.063333333,-0.139444444,2.48,1.111111111,0.201111111,,-0.129444444,0.457222222,,,0.77,9.66166667,9.39333333,,,,4.51166666,,-0.498888889,,-6.98944445,,,2.728333334,1.467222222,0.689444445,0.902777777,0.341666667,,0.962777778,0.092222222,-0.023333333,0,1.533333333,0.242777778,0.157777778,-0.000555556,0.783333333,97.975,-0.056230848,0.05324015,-0.020904835,-0.216590354,-0.67361111,1.343166667,-0.056666667,221.4999999,6.2,14.51636731,17.8832396,0.408199082,23.4,0.145591531,21.64856846,0.165
KONZ_002,2020,2021,KONZ,D06,39.119992,-96.546015,grasslandHerbaceous,Herbaceous,1.5,19.80833333,4.25,1.64729569,,0,0,0,0.037777778,0,,,0.008333333,-0.151111111,-0.026111111,-2.00388889,-1.096111111,-0.144444444,0,,,-1.615,-0.285555555,,-0.932222222,-2.48111111,-2.44888889,-1.239444444,0,0.092222222,-0.048888889,-1.055,,-0.048888889,-0.323888889,,,-0.003888889,-1.219444445,-2.56777777,,,,-1.00444445,,-1.1,,-2.65944444,,,-0.296666667,-0.142222222,-0.08,0.194444444,-0.389444445,,-0.004444445,0,0,0,-0.057777777,0,-0.046666667,-0.016666667,-0.24,-8.4116667,0.017351489,0.0610982,-0.000804666,0.01183876,0.35618403,0.035388889,-0.061111111,523.1717957,7.470475059,0.292024154,88.98375,0.26211,96.24687084,0.674342696,80.03548724,0.520887093
KONZ_003,2020,2021,KONZ,D06,39.088076,-96.570347,grasslandHerbaceous,Herbaceous,1,6.5166666,0.625,0.784416264,,0,0,0,0.165555556,0,,,-0.035555556,-0.072777778,-0.933333333,-2.08888889,-0.43555555,-0.096666666,0,,,-1.574444445,-1.831111108,,-1.878888889,-3.84555556,-5.71888889,-1.495555556,0,-0.856666667,-0.096111111,-1.291111111,,-0.004444445,-0.139444444,,,-0.09,-1.339444444,-3.33111111,,,,-1.01111111,,-1.256111111,,-2.955,,,-0.436111111,-0.135,-0.152777778,0.264444445,-0.801111111,,0.067222222,0,-0.041666667,0,-0.048333333,0,-0.062222222,0,-0.103888889,-18.8388889,-0.249005388,-0.14700922,0.079821108,1.90247168,-0.20656109,0.052777778,-0.213888889,,,,,,,,,
KONZ_005,2020,2021,KONZ,D06,39.082563,-96.566704,grasslandHerbaceous,Herbaceous,0.5,64.89166664,2.625,0.305794812,,0,0,0,0.105555556,0,,,0.000555556,-0.303333333,-0.241666667,-2.92666666,-2.823333333,-0.270555556,0,,,-1.752222222,-0.839444444,,-1.362222222,-4.41333333,-3.69833333,-1.412777778,0,-0.221666667,-0.296666666,-1.708888889,,0.018888889,-0.307222223,,,-0.135555556,-2.335555556,-3.01277778,,,,-1.89888889,,-1.284444444,,-4.34611111,,,-0.516666667,-0.181666666,-0.011666666,-0.147777778,-0.204444445,,-0.068888889,0,-0.081666667,0,-0.148333333,0,-0.076666667,0,-0.253333333,-24.8,-0.179896266,-0.0186798,0.125299793,2.63490146,1.19021384,0.049444444,-0.058888889,178.4444667,2.146666665,0.115654658,29.99999998,0.124271401,19.64333333,0.165833334,15.23982261,0.158096093
KONZ_043,2020,2021,KONZ,D06,39.102192,-96.56118,grasslandHerbaceous,Herbaceous,-0.5,34.22500003,-0.5,-0.655399966,,0,0,0,-0.053333333,0,,,-0.032222222,-0.796111111,-1.418888889,-8.755,-6.341666663,-0.571111111,0,,,-4.139444445,-7.849444444,1.31,-5.707222223,-13.43777778,-11.89111111,-3.296666667,0,-3.129444444,-0.732222223,-3.671111111,1.495555556,-0.018888889,-0.676666667,3.456666667,2.505555556,-0.011666667,-2.764444445,-9.991666663,,,,-11.63111111,,-3.044444445,1.024444444,-13.13722222,,0,-0.541111111,-0.222222223,-0.167777778,-0.393888889,-0.637222222,,-0.245,0,-0.071666666,0,-0.285,0,-0.123888889,-0.016666667,-0.39,-106.3933333,-0.008517063,-0.01144759,0.04802555,0.12171607,-0.14270751,0.006555555,-0.166666667,-206.1995621,4.512742138,-29.43611606,-67.00625,-0.085651293,45.55574355,-0.272540364,-24.5641766,-0.264199837
KONZ_045,2020,2021,KONZ,D06,39.103827,-96.561811,grasslandHerbaceous,Herbaceous,-2,5.8333333,0,-1.865236652,,0,0,0,0.078888889,0,,,-0.028333333,-0.536666666,-1.46,-7.475555552,-5.243888889,-0.486111111,0,,,-4.265,-5.389444444,0.984444444,-4.255555555,-9.45055556,-9.82111111,-2.924444444,0,-2.367222222,-0.617777778,-3.453333333,1.43,0,-0.645,4.625555556,2.24,0.033333333,-3.195,-8.700000003,,,,-8.016666663,,-2.462777777,0.802222222,-10.06888889,,0,-0.388888889,-0.157222222,0.041666667,-0.095555556,-0.806666667,,-0.096111111,0,-0.02,0,-0.187222222,0,-0.083333333,0,-0.353888889,-82.8177778,0.259442171,0.11453152,0.063279683,-0.09971402,-2.83885552,-0.059666666,0.255555555,,,,,,,,,
ORNL_001,2020,2021,ORNL,D07,35.930248,-84.270109,deciduousForest,Deciduous Forest,0.5,2.63333334,0,0.688118314,,0,0,0.023333334,0.116666667,0,,,0.028333333,0.08,0.028333333,0.646666666,0.146666666,0.12,0,,,-0.048333334,1.623333334,0.826666667,0.613333333,2.996666667,-0.001666667,-0.088333333,-0.043333333,0.676666667,0.22,-0.066666667,1.566666667,0.006666667,-0.063333334,0.663333333,1.053333333,0.041666667,1.636666667,2.125,,,,3.215,,-0.331666666,1.455,1.13833333,,0,-0.055,-0.013333333,-0.07,0.238333334,0.035,,-0.13,0.025,0,0,-0.195,0,0.036666666,0,-0.243333333,20.06333333,0.268190793,0.05045045,-0.024680365,-0.920630631,-0.14603865,-0.167888889,0.181666666,215.0000002,4.450000004,0.538630293,6.024291475,1.42,27.64999998,0.079413344,2.740196879,0.13
ORNL_002,2020,2021,ORNL,D07,35.982199,-84.212753,deciduousForest,Deciduous Forest,1,5.375,0,3.576751118,,0,0,-0.341666667,-0.145,0,,,-0.088333333,-1.49,-0.523333333,-10.40666667,-3.095,-1.32,0,,,-3.416666666,-5.395,,-2.495,-19.09,-5.395,-1.368333333,0,-3.606666667,-1.271666667,-1.011666666,,-0.086666667,-0.576666667,,,-0.298333333,-10.44833333,-14.29,,,,-9.24833333,,-1.413333334,,-18.01333334,,,-1.276666666,-0.331666667,-0.488333334,0.123333333,-0.456666667,,-0.95,-0.265,0,-0.125,-1.436666667,0,-0.351666667,0,-1.461666667,-118.5583334,0.00670391,-0.0129617,-0.032681565,-0.642058167,0.60002645,-0.331944445,0.415,442.9999999,26.05000001,228.6350397,50.9684855,0.45200085,47.70000002,0.302646556,232.5451851,0.23
ORNL_003,2020,2021,ORNL,D07,35.965875,-84.230646,deciduousForest,Deciduous Forest,-1.4,-28.95,0,-0.632338548,,0,0,-0.095,-0.076666667,0,,,-0.05,-0.445,-0.215,-4.098333333,-1.845,-0.3,0,,,-1.945,-0.601666667,1.185,-0.441666666,-6.015,-3.783333333,-0.968333333,0,-1.135,-0.145,-0.551666667,1.536666667,-0.056666667,-0.306666667,0.683333333,1.523333333,0,0.175,-3.18,,,,-1.06166667,,-0.583333333,1.4,-10.49666667,,0,-0.228333333,-0.151666666,-0.18,0.265,-0.211666667,,-0.456666667,-0.128333333,0,-0.05,-0.438333334,-0.018333333,-0.058333333,0,-0.411666667,-33.95333337,-0.296192948,0.46716608,0.010024876,-0.011667956,0.33118341,-0.235888889,-0.058333333,-602.0000006,-12.46000001,-1.50816482,-16.86801613,-3.976,-77.41999994,-0.222357362,-7.672551261,-0.364
ORNL_006,2020,2021,ORNL,D07,35.938227,-84.32368,deciduousForest,Deciduous Forest,-3.25,-19.14166667,0,-3.022342334,,0,0,0,0.028333333,0,,,0,-0.171666666,-0.288333334,-1.418333333,-1.028333333,-0.08,0,,,-0.646666667,-0.095,0.636666667,-0.241666666,-2.44666667,-1.46,-0.513333333,0,-0.375,-0.126666667,-0.44,0.958333333,0,-0.115,0.508333333,0.918333333,0.105,0.106666666,-0.435,,,,-1.501666666,,-0.675,0.776666667,-2.370000003,,0,0.006666666,-0.048333333,-0.07,0.391666666,-0.163333333,,-0.21,0,0,0,-0.191666667,0,-0.048333333,0,-0.185,-10.90833334,0.718700265,-0.90685714,-0.093527852,-0.683671429,0.23888889,-0.0105,-0.173333333,-1353.750101,-28.01493751,9.131000334,-23.15885809,-10.24190859,-160.7440534,-0.564012303,-19.62561039,-0.927771584
ORNL_027,2020,2021,ORNL,D07,35.916313,-84.263286,evergreenForest,Evergreen Forest,2.25,-24.15833334,0,4.723475508,,0,0,0,0,0,,,0,-0.1,0.005,-0.895,-0.558333333,-0.065,0,,,-0.543333334,0.665,0.685,0.283333333,-1.955,0.105,-0.316666666,0,-0.178333333,-0.065,-0.271666666,0.8,0,-0.08,0.73,0.796666667,-0.028333333,0.428333333,-0.001666667,,,,0.856666667,,-0.26,0.59,-2.38,,0,-0.048333333,-0.021666666,-0.07,0.278333333,-0.023333333,,-0.283333333,0,0,0,-0.223333334,0,0,0,-0.166666667,-2.315,-0.02223114,0.107859,0.028602296,0.546243364,-0.11111111,-0.021888889,-0.015,169.5557922,29.63408777,-6.306004834,279.6969925,-1.246926539,-452.0801406,6.419082727,3115.303325,3.187209742
ORNL_046,2020,2021,ORNL,D07,35.964418,-84.285882,deciduousForest,Deciduous Forest,-1,2.625,0,-3.614920269,,0,0,-0.043333333,0,0,,,0,-0.385,-0.145,-2.958333333,-1.155,-0.348333333,0,,,-1.186666667,-0.258333333,0.54,-0.221666667,-6.59833333,-1.595,-0.591666667,0,-0.913333334,-0.321666667,-0.525,1.048333333,-0.051666667,-0.206666667,0.343333333,0.585,0,-0.345,-1.195,,,,-0.558333333,,-1.023333333,0.701666667,-5.100000003,,0,-0.066666666,0.138333334,-0.28,0.336666667,-0.098333333,,-0.446666667,-0.023333333,0,0,-0.446666667,0,-0.135,0,-0.668333333,-24.18,-0.341302225,-0.03823115,0.068634835,1.074086273,-2.60625,0.019277777,-0.115,,,,-40,,,,,
ORNL_049,2020,2021,ORNL,D07,35.964792,-84.278894,deciduousForest,Deciduous Forest,0.458333333,-0.81666667,0,0.871565338,,0,0,-0.065,-0.088333333,0,,,-0.036666667,-0.461666667,-0.343333333,-2.886666667,-1.705,-0.326666667,0,,,-1.153333333,-1.743333333,0.665,-0.905,-6.891666667,-1.978333334,-0.825,0,-1.365,-0.475,-0.758333333,1.085,-0.021666667,-0.24,0.551666667,1.053333333,0.061666667,-1.915,-3.068333333,,,,-5.654999997,,-0.896666667,0.913333333,-5.4,,0,-0.426666667,-0.216666667,-0.336666667,0.13,-0.126666667,,-0.52,0,0,0,-0.443333333,-0.02,-0.103333333,0,-0.46,-37.42333333,-0.107281553,0.24342948,-0.067961165,-0.649181749,0.24705882,-0.113277778,-0.243333333,197.0833334,4.079166667,0.493744435,5.522267181,1.301666666,25.3458333,0.072795565,2.511847137,0.119166667
ORNL_053,2020,2021,ORNL,D07,35.965252,-84.286859,deciduousForest,Deciduous Forest,0.5,-13.66666667,0,1.020408163,,0,0,-0.051666667,0,0,,,0,-0.296666667,-0.198333333,-2.33,-0.941666667,-0.325,0,,,-1.09,-0.556666667,,-0.415,-4.985,-1.455,-0.555,0,-0.72,-0.258333334,-0.468333334,,0,-0.216666666,,,0,-1.126666667,-1.468333334,,,,-1.336666667,,-0.805,,-3.225,,,-0.155,-0.031666667,-0.195,0.173333334,0,,-0.256666666,0,0,0,-0.248333333,0,-0.028333333,0,-0.326666666,-21.07833334,0.459345067,0.09312337,-0.02500778,-0.384469564,-0.38368984,0.0305,-0.15,215.0000002,4.450000004,0.538630293,6.024291475,1.42,27.64999998,0.079413344,2.740196879,0.13
PUUM_031,2019,2020,PUUM,D20,19.553624,-155.319191,evergreenForest,Evergreen Forest,44.25,56.54166666,0,1.26010094,,0,0,-0.142,-0.352,0,,,-0.424,-1.81,-0.716,-11.662,-5.284,-1.44,0,,,-3.628,-10.098,0,-6.71,-24.744,-14.86,-2.916,0,-3.494,-2.262,-1.852,0,-0.166,-0.662,0,0,-0.578,-10.384,-19.44,,,,-17.064,,-2.192,0,-12.998,,0,-7.142,-3.946,-0.74,-3.528,0.71,,-0.304,-0.026,-0.114,0,-0.098,-0.142,-0.392,0,-0.506,-172.18,0.6275,0.01125,0.002875,0.0635,0.24625,0.03925,-0.215,22150.60359,1360.309256,82330.26861,6347.957984,7.858245415,8631.444214,3.935417646,2044.681874,8.143203644
SCBI_003,2020,2021,SCBI,D02,38.883308,-78.120371,deciduousForest,Deciduous Forest,14.75,41.60833337,0,5.041561612,,0,0,0,0.098333333,0,,,0.015,-0.081666667,0.366666667,-1.975,-0.401666667,0.016666666,0,,,-0.35,0.61833334,2.703333333,0.426666667,-2.245,-0.36666666,-0.443333333,0,-0.238333333,-0.123333333,-0.066666667,1.753333333,0.056666666,-0.011666666,2.078333333,3.151666667,0,0.341666667,-0.47666667,,,,0.45666666,,-0.071666666,1.903333333,-2.355,,0,-0.58,-0.111666667,-0.155,0.573333334,-0.273333333,,-0.266666667,0.026666667,0.021666666,-0.033333333,-0.015,0.023333333,-0.008333333,0,-0.201666666,3.79,0.142679127,-0.19131607,0.048963716,1.58580097,-0.18452381,0.115055555,0.015,5924.478083,237.7633986,117.5584324,646.0498927,2.275637139,5749.969237,4.984503458,479.8074484,8.469770152
SCBI_004,2020,2021,SCBI,D02,38.896938,-78.146458,deciduousForest,Deciduous Forest,33.525,23.9,-1.175,0.642425582,,0,0,0,0.066666667,0,,,0,-0.411666666,-1.291666667,-3.826666667,-2.835,-0.206666666,0,,,-1.293333333,-2.18,1.646666667,-1.83,-6.03,-6.10166666,-1.156666667,0,-1.113333333,-0.176666666,-1.106666667,1.23,-0.026666667,-0.101666667,1.35,1.716666667,0,0.191666667,-2.213333333,,,,-5.88833333,,-0.943333334,1.196666667,-2.34,,0,-0.53,-0.17,-0.21,0.665,-0.693333334,,-0.381666667,0.048333333,0,-0.021666667,0.035,0.021666667,0,0,0.125,-34.7816667,0.317020202,0.06507246,-0.014535353,-0.41887198,-0.06388889,0.045222223,-0.556666666,10494.59645,549.7227824,918.6966593,3533.98705,0.95323252,-190.6522704,27.94520384,898.4490298,65.47150723
